"hour","count","request_type","division","section"
9,26,"Res / Organic Green Bin / Whole Street / Missed","Solid Waste Management Services","Collections"
9,14,"Res / Organic&Garbage / Missed","Solid Waste Management Services","Collections"
9,16,"Res / Organic&Recycle / Missed","Solid Waste Management Services","Collections"
9,126,"Res / Recycle / Missed","Solid Waste Management Services","Collections"
9,28,"Res / Recycle / Whole Street / Missed","Solid Waste Management Services","Collections"
9,4,"Res / Recycle Front&Side / Missed","Solid Waste Management Services","Collections"
9,38,"Res / Yard Waste Whole Street / Missed","Solid Waste Management Services","Collections"
9,18,"Res Above Comm / Nite Garbage / Missed","Solid Waste Management Services","Collections"
9,8,"Res Above Comm / Nite Recycle / Missed","Solid Waste Management Services","Collections"
9,6,"Res Above Comm / Nite Yard Waste / Missed","Solid Waste Management Services","Collections"
9,8,"Residential / Nite Furniture / Missed","Solid Waste Management Services","Collections"
9,10,"Residential / Nite Yard Waste / Missed","Solid Waste Management Services","Collections"
9,98,"Residential / Yard Waste / Missed","Solid Waste Management Services","Collections"
9,278,"Residential Furniture / Missed","Solid Waste Management Services","Collections"
9,102,"Residential: Bin: Missing","Solid Waste Management Services","Collections"
9,30,"Residential: Bin: Repair or Replace Body/Handle","Solid Waste Management Services","Collections"
9,16,"Residential: Bin: Repair or Replace Lid","Solid Waste Management Services","Collections"
9,2,"Residential: Bin: Repair or Replace Metal Bar","Solid Waste Management Services","Collections"
9,30,"Residential: Bin: Repair or Replace Wheel","Solid Waste Management Services","Collections"
9,62,"Residential: Bin: Wrong Delivery","Solid Waste Management Services","Collections"
9,4,"Residential: Garbage Bin: Additional Medium","Solid Waste Management Services","Collections"
9,20,"Residential: Garbage Bin: Exchange to Extra Large","Solid Waste Management Services","Collections"
9,70,"Residential: Garbage Bin: Exchange to Large","Solid Waste Management Services","Collections"
9,80,"Residential: Garbage Bin: Exchange to Medium","Solid Waste Management Services","Collections"
9,80,"Residential: Garbage Bin: Exchange to Small","Solid Waste Management Services","Collections"
9,4,"Residential: Garbage Bin: New Account Extra Large","Solid Waste Management Services","Collections"
9,16,"Residential: Garbage Bin: New Account Large","Solid Waste Management Services","Collections"
9,14,"Residential: Garbage Bin: New Account Medium","Solid Waste Management Services","Collections"
9,12,"Residential: Garbage Bin: New Account Small","Solid Waste Management Services","Collections"
9,14,"Residential: Recycle Bin: Additional Extra Large","Solid Waste Management Services","Collections"
9,2,"Residential: Recycle Bin: Additional Large","Solid Waste Management Services","Collections"
9,40,"Residential: Recycle Bin: Exchange to Large","Solid Waste Management Services","Collections"
9,24,"Residential: Recycle Bin: Exchange to Medium","Solid Waste Management Services","Collections"
9,4,"Residential: Recycle Bin: Exchange to Small","Solid Waste Management Services","Collections"
9,14,"Residential: Recycle Bin: New Account Extra Large","Solid Waste Management Services","Collections"
9,20,"Residential: Recycle Bin: New Account Large","Solid Waste Management Services","Collections"
9,10,"Residential: Recycle Bin: New Account Medium","Solid Waste Management Services","Collections"
9,4,"Residential: Recycle Bin: New Account Small","Solid Waste Management Services","Collections"
9,18,"Restoration Related","Toronto Water","District Ops - Operations & Maintenance"
9,52,"Road - Cleaning/Debris","Transportation Services","Road Operations "
9,10,"Road - Damaged","Transportation Services","Road Operations "
9,4,"Road - Graffiti Complaint","Transportation Services","Road Operations "
9,2,"Road - Gravel Roads/Construction","Transportation Services","Road Operations "
9,16,"Road - Sinking","Transportation Services","Road Operations "
9,2,"Road Allowance","Municipal Licensing & Standards","District Enforcement"
9,8,"Road Water Ponding","Transportation Services","Road Operations "
9,6,"Roadside Utility Cut - Settlement","Transportation Services","Road Operations "
9,4,"Roadway Utility Cut - Settlement","Transportation Services","Road Operations "
9,4,"Rooming House","Municipal Licensing & Standards","District Enforcement"
9,4,"School Bus Loading Zone","Transportation Services","Traffic Ops - Traffic Engineering"
9,2,"Sewer main-Backup","Toronto Water","District Ops - Operations & Maintenance"
9,34,"Sewer Odour","Toronto Water","District Ops - Operations & Maintenance"
9,12,"Sewer Service Line-Cleanout Repair","Toronto Water","District Ops - Operations & Maintenance"
9,2,"Shoulder - Maintenance","Transportation Services","Road Operations "
9,56,"Sidewalk - Damaged / Concrete","Transportation Services","Road Operations "
9,4,"Sidewalk - Graffiti Complaint","Transportation Services","Road Operations "
9,12,"Sidewalk-Water Ponding","Transportation Services","Road Operations "
9,2,"Sidewalks","Transportation Services","Traffic Ops - Traffic Engineering"
9,2,"Sight Line Obstruction","Transportation Services","Traffic Ops - Traffic Engineering"
9,12,"Signal Timing Review/Vehicle Delays","Transportation Services","Traffic Ops - Traffic Engineering"
9,10,"Signs","Municipal Licensing & Standards","District Enforcement"
9,2,"Speeding","Transportation Services","Traffic Ops - Traffic Engineering"
9,52,"Stemming","Urban Forestry","Forestry Operations"
9,52,"Storm Clean Up","Urban Forestry","Forestry Operations"
9,2,"Traffic Calming Measures","Transportation Services","Traffic Ops - Traffic Engineering"
9,2,"Traffic Infiltration","Transportation Services","Traffic Ops - Traffic Engineering"
9,12,"Traffic Signal Maintenance","Transportation Services","TMC - TPIM"
9,24,"Tree Planting","Urban Forestry","Forestry Operations"
9,6,"Walkway - damaged","Transportation Services","Road Operations "
9,4,"Walkway-Weeds Need Cutting","Transportation Services","Road Operations "
9,2,"Water Meter-Leaking","Toronto Water","District Ops - Central Services"
9,2,"Water Quality-Discoloured (Rusty or Dirty) Water","Toronto Water","District Ops - Operations & Maintenance"
9,18,"Water Service Line-Damaged Water Service Box","Toronto Water","District Ops - Operations & Maintenance"
9,42,"Water Service Line-Leaking","Toronto Water","District Ops - Operations & Maintenance"
9,26,"Water Service Line-Locate / Adjust service box","Toronto Water","District Ops - Operations & Maintenance"
9,50,"Water Service Line-No Water","Toronto Water","District Ops - Operations & Maintenance"
9,168,"Water Service Line-Turn Off","Toronto Water","District Ops - Operations & Maintenance"
9,14,"Water Service Line-Turn Off/Burst","Toronto Water","District Ops - Operations & Maintenance"
9,42,"Water Service Line-Turn On","Toronto Water","District Ops - Operations & Maintenance"
9,8,"Water Valve-Leaking","Toronto Water","District Ops - Operations & Maintenance"
9,2,"Watercourses-Outfalls/Inlets","Toronto Water","District Ops - Operations & Maintenance"
9,32,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
9,40,"Zoning","Municipal Licensing & Standards","District Enforcement"
10,4,"ABCD's / Garbage Front-End / Missed","Solid Waste Management Services","Collections"
10,14,"ABCD's / Garbage Pile / Missed","Solid Waste Management Services","Collections"
10,2,"ABCD's / Nite Garbage Pile / Missed","Solid Waste Management Services","Collections"
10,2,"ABCD's / Nite Recycle Blue Box Missed","Solid Waste Management Services","Collections"
10,8,"ABCD's / Recycle Blue Box / Missed","Solid Waste Management Services","Collections"
10,8,"ABCD's / Recycle Cart / Missed","Solid Waste Management Services","Collections"
10,10,"ABCD's / Recycle Front-End / Missed","Solid Waste Management Services","Collections"
10,28,"Adequate Heat","Municipal Licensing & Standards","District Enforcement"
10,8,"All / Hazardous Waste / Missed","Solid Waste Management Services","Collections"
10,80,"All / Hazardous Waste / Pick Up Request","Solid Waste Management Services","Collections"
10,2,"Appliance (Emergency)","Municipal Licensing & Standards","District Enforcement"
10,52,"Bin Investigation Request","Solid Waste Management Services","Collections"
10,18,"Block Pruning","Urban Forestry","Forestry Operations"
10,10,"Boulevard - Leaf Pick-up Mechanical","Transportation Services","Road Operations "
10,6,"Boulevard - Pick-Up Shopping Carts","Transportation Services","Road Operations "
10,2,"Boulevard - Plough Damage","Transportation Services","Road Operations "
10,40,"Boulevards - Damaged Asphalt","Transportation Services","Road Operations "
10,4,"Bridge - Graffiti Complaint","Transportation Services","Road Operations "
10,6,"Catch basin (Storm) - Damage","Toronto Water","District Ops - Operations & Maintenance"
10,2,"Catch basin (Storm) - Overflowing","Toronto Water","District Ops - Operations & Maintenance"
10,22,"Catch Basin - Blocked / Flooding","Transportation Services","Road Operations "
10,8,"Catch Basin - Damaged Maintenance Requested","Transportation Services","Road Operations "
10,4,"Catch Basin - Debris / Litter","Transportation Services","Road Operations "
10,6,"Catch Basin Maintenance and Repair","Transportation Services","Road Operations "
10,2,"Catch basin on Expressway damaged","Transportation Services","Road Operations "
10,10,"Comm / Nite Garbage Yellow Bag / Missed","Solid Waste Management Services","Collections"
10,12,"Comm / Nite Organic Cart / Missed","Solid Waste Management Services","Collections"
10,6,"Comm / Nite Recycle Blue Box / Missed","Solid Waste Management Services","Collections"
10,8,"Comm / Nite Recycle Cardboard Missed","Solid Waste Management Services","Collections"
10,4,"Commercial / Nite Recycle Cart / Missed","Solid Waste Management Services","Collections"
10,4,"Commercial / Organic Cart / Missed","Solid Waste Management Services","Collections"
10,2,"Complaint / Property Damaged","Solid Waste Management Services","Collections"
10,22,"Complaint regarding Contractor","Transportation Services","Road Operations "
10,2,"Construction-Unsafe/Untidy Condition","Toronto Water","District Ops - Operations & Maintenance"
10,2,"Culverts - Blocked","Transportation Services","Road Operations "
10,2,"Culverts-Damaged / Maintenance Requested","Transportation Services","Road Operations "
10,166,"Election Signs","Municipal Licensing & Standards","District Enforcement"
10,2,"Fence - Damaged","Transportation Services","Road Operations "
10,174,"General Pruning","Urban Forestry","Forestry Operations"
10,16,"General Tree Maintenance","Urban Forestry","Forestry Operations"
10,20,"Graffiti","Municipal Licensing & Standards","District Enforcement"
10,4,"Hydrant-Damage","Toronto Water","District Ops - Operations & Maintenance"
10,20,"Hydrant-Leaking","Toronto Water","District Ops - Operations & Maintenance"
10,4,"Intersection Safety Review","Transportation Services","Traffic Ops - Traffic Engineering"
10,4,"Investigate Pavement Markings","Transportation Services","Traffic Ops - Traffic Engineering"
10,14,"Investigate Regulatory Signs","Transportation Services","Traffic Ops - Traffic Engineering"
10,4,"Lane Designation","Transportation Services","Traffic Ops - Traffic Engineering"
10,4,"Laneway - Surface Damage","Transportation Services","Road Operations "
10,8,"Left/Right Turn Signal Priority Features","Transportation Services","Traffic Ops - Traffic Engineering"
10,4,"Litter / Bin / Litter Bin Installation","Solid Waste Management Services","Collections"
10,16,"Litter / Bin / Overflow or Missed","Solid Waste Management Services","Collections"
10,2,"Litter / Bin / Reinstall, Replace Missing","Solid Waste Management Services","Collections"
10,2,"Litter / Bin / Relocate","Solid Waste Management Services","Collections"
10,6,"Litter / Laneway / Clean Up","Solid Waste Management Services","Collections"
10,14,"Litter / Sidewalk & Blvd / Pick Up Request","Solid Waste Management Services","Collections"
10,2,"Litter / Special Event / Pick Up Request","Solid Waste Management Services","Collections"
10,4,"Litter / Street Furniture& Poster / Removal","Solid Waste Management Services","Collections"
10,18,"Long Grass and Weeds","Municipal Licensing & Standards","District Enforcement"
10,6,"Maintenance Hole - Overflowing","Toronto Water","District Ops - Operations & Maintenance"
10,12,"Maintenance Holes -Damage / Repair","Transportation Services","Road Operations "
10,10,"Maintenance Holes Lid Loose/Missing","Transportation Services","Road Operations "
10,22,"Missing/Damaged Signs","Transportation Services","TMC - Signs & Markings"
10,2,"Missing/Faded Pavement Markings","Transportation Services","TMC - Signs & Markings"
10,10,"Multi-Res / Furniture Pile / Missed","Solid Waste Management Services","Collections"
10,4,"Multi-Res / Garbage Cart / Missed","Solid Waste Management Services","Collections"
10,4,"Multi-Res / Garbage Front-End / Missed","Solid Waste Management Services","Collections"
10,2,"Multi-Res / Garbage Rear-Bin / Missed","Solid Waste Management Services","Collections"
10,2,"Multi-Res / Nite Furniture Pile / Missed","Solid Waste Management Services","Collections"
10,2,"Multi-Res / Nite Recycle Cart / Missed","Solid Waste Management Services","Collections"
10,6,"Multi-Res / Recycle Cart / Missed","Solid Waste Management Services","Collections"
10,6,"Multi-Res / Recycle Front-End / Missed","Solid Waste Management Services","Collections"
10,2,"Multi-Res / Recycle Rear-Bin / Missed","Solid Waste Management Services","Collections"
10,2,"Multi-Res / Yard Waste / Missed","Solid Waste Management Services","Collections"
10,2,"New Traffic Control Signal Request","Transportation Services","Traffic Ops - Traffic Engineering"
10,44,"Noise","Municipal Licensing & Standards","District Enforcement"
10,20,"Operational Comment or Complaint","Transportation Services","Road Operations "
10,82,"Operator / Operations Complaint","Solid Waste Management Services","Collections"
10,2,"Operator / Operations Compliment","Solid Waste Management Services","Collections"
10,2,"Pedestrian Crossover Operation","Transportation Services","Traffic Ops - Traffic Engineering"
10,6,"Pedestrian Issues/Timing/Delays","Transportation Services","Traffic Ops - Traffic Engineering"
10,6,"Permit Inspection","Urban Forestry","Tree Protection and Plan Review"
10,2,"Pit Cover/Paver Maintenance","Urban Forestry","Forestry Operations"
10,2,"Pollution Spill Response","Toronto Water","District Ops - Operations & Maintenance"
10,2,"Private Tree Inspection","Urban Forestry","Tree Protection and Plan Review"
10,224,"Property Standards","Municipal Licensing & Standards","District Enforcement"
10,2,"PXO Maintenance","Transportation Services","TMC - TPIM"
10,2,"Ravine Inspection","Urban Forestry","Forestry and Natural Environment Management"
10,20,"Res / Above Comm / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
10,148,"Res / Garbage / Missed","Solid Waste Management Services","Collections"
10,16,"Res / Garbage / Whole Street Missed","Solid Waste Management Services","Collections"
10,6,"Res / Garbage Front&Side / Missed","Solid Waste Management Services","Collections"
10,14,"Res / Nite Garbage / Missed","Solid Waste Management Services","Collections"
10,2,"Res / Nite Garbage / Whole Street / Missed","Solid Waste Management Services","Collections"
10,8,"Res / Nite Organic / Missed","Solid Waste Management Services","Collections"
10,4,"Res / Nite Recycle / Missed","Solid Waste Management Services","Collections"
10,2,"Res / Nite Recycle Whole Street / Missed","Solid Waste Management Services","Collections"
10,2,"Res / Org&Garbage Front&Side / Missed","Solid Waste Management Services","Collections"
10,4,"Res / Org&Garbage Whole Street / Missed","Solid Waste Management Services","Collections"
10,2,"Res / Org&Recycle Front&Side / Missed","Solid Waste Management Services","Collections"
10,10,"Res / Org&Recycle Whole Street / Missed","Solid Waste Management Services","Collections"
10,18,"Res / Organic Container / Missing Damaged","Solid Waste Management Services","Collections"
10,6,"Res / Organic Front&Side / Missed","Solid Waste Management Services","Collections"
10,94,"Res / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
10,22,"Res / Organic Green Bin / Whole Street / Missed","Solid Waste Management Services","Collections"
10,20,"Res / Organic&Garbage / Missed","Solid Waste Management Services","Collections"
10,16,"Res / Organic&Recycle / Missed","Solid Waste Management Services","Collections"
10,110,"Res / Recycle / Missed","Solid Waste Management Services","Collections"
10,20,"Res / Recycle / Whole Street / Missed","Solid Waste Management Services","Collections"
10,8,"Res / Recycle Front&Side / Missed","Solid Waste Management Services","Collections"
10,46,"Res / Yard Waste Whole Street / Missed","Solid Waste Management Services","Collections"
10,8,"Res Above Comm / Nite Garbage / Missed","Solid Waste Management Services","Collections"
10,8,"Res Above Comm / Nite Recycle / Missed","Solid Waste Management Services","Collections"
10,4,"Reserved Lane","Transportation Services","Traffic Ops - Traffic Engineering"
10,6,"Residential / Nite Furniture / Missed","Solid Waste Management Services","Collections"
10,2,"Residential / Nite Yard Waste / Missed","Solid Waste Management Services","Collections"
10,84,"Residential / Yard Waste / Missed","Solid Waste Management Services","Collections"
10,248,"Residential Furniture / Missed","Solid Waste Management Services","Collections"
10,2,"Residential Permit Parking","Transportation Services","Traffic Ops - Traffic Engineering"
10,112,"Residential: Bin: Missing","Solid Waste Management Services","Collections"
10,30,"Residential: Bin: Repair or Replace Body/Handle","Solid Waste Management Services","Collections"
10,6,"Residential: Bin: Repair or Replace Lid","Solid Waste Management Services","Collections"
10,2,"Residential: Bin: Repair or Replace Metal Bar","Solid Waste Management Services","Collections"
10,12,"Residential: Bin: Repair or Replace Wheel","Solid Waste Management Services","Collections"
10,18,"Residential: Bin: Wrong Delivery","Solid Waste Management Services","Collections"
10,8,"Residential: Garbage Bin: Additional Extra Large","Solid Waste Management Services","Collections"
10,6,"Residential: Garbage Bin: Additional Large","Solid Waste Management Services","Collections"
10,30,"Residential: Garbage Bin: Exchange to Extra Large","Solid Waste Management Services","Collections"
10,56,"Residential: Garbage Bin: Exchange to Large","Solid Waste Management Services","Collections"
10,108,"Residential: Garbage Bin: Exchange to Medium","Solid Waste Management Services","Collections"
10,90,"Residential: Garbage Bin: Exchange to Small","Solid Waste Management Services","Collections"
10,4,"Residential: Garbage Bin: New Account Extra Large","Solid Waste Management Services","Collections"
10,6,"Residential: Garbage Bin: New Account Large","Solid Waste Management Services","Collections"
10,16,"Residential: Garbage Bin: New Account Medium","Solid Waste Management Services","Collections"
10,14,"Residential: Garbage Bin: New Account Small","Solid Waste Management Services","Collections"
10,16,"Residential: Recycle Bin: Additional Extra Large","Solid Waste Management Services","Collections"
10,6,"Residential: Recycle Bin: Additional Large","Solid Waste Management Services","Collections"
10,4,"Residential: Recycle Bin: Additional Medium","Solid Waste Management Services","Collections"
10,56,"Residential: Recycle Bin: Exchange to Large","Solid Waste Management Services","Collections"
10,30,"Residential: Recycle Bin: Exchange to Medium","Solid Waste Management Services","Collections"
10,10,"Residential: Recycle Bin: Exchange to Small","Solid Waste Management Services","Collections"
10,10,"Residential: Recycle Bin: New Account Extra Large","Solid Waste Management Services","Collections"
10,14,"Residential: Recycle Bin: New Account Large","Solid Waste Management Services","Collections"
10,12,"Residential: Recycle Bin: New Account Medium","Solid Waste Management Services","Collections"
10,2,"Residential: Recycle Bin: New Account Small","Solid Waste Management Services","Collections"
10,18,"Restoration Related","Toronto Water","District Ops - Operations & Maintenance"
10,52,"Road - Cleaning/Debris","Transportation Services","Road Operations "
10,14,"Road - Damaged","Transportation Services","Road Operations "
10,2,"Road - Gravel Roads/Construction","Transportation Services","Road Operations "
10,20,"Road - Sinking","Transportation Services","Road Operations "
10,6,"Road Allowance","Municipal Licensing & Standards","District Enforcement"
10,4,"Road Water Ponding","Transportation Services","Road Operations "
10,4,"Roadway Utility Cut - Settlement","Transportation Services","Road Operations "
10,2,"Rooming House","Municipal Licensing & Standards","District Enforcement"
10,2,"Sewer main-Backup","Toronto Water","District Ops - Operations & Maintenance"
10,26,"Sewer Odour","Toronto Water","District Ops - Operations & Maintenance"
10,10,"Sewer Service Line-Cleanout Repair","Toronto Water","District Ops - Operations & Maintenance"
10,4,"Shoulder - Maintenance","Transportation Services","Road Operations "
10,58,"Sidewalk - Damaged / Concrete","Transportation Services","Road Operations "
10,4,"Sidewalk - Graffiti Complaint","Transportation Services","Road Operations "
10,10,"Sidewalk-Water Ponding","Transportation Services","Road Operations "
10,4,"Sight Line Obstruction","Transportation Services","Traffic Ops - Traffic Engineering"
10,12,"Signal Timing Review/Vehicle Delays","Transportation Services","Traffic Ops - Traffic Engineering"
10,44,"Signs","Municipal Licensing & Standards","District Enforcement"
10,72,"Stemming","Urban Forestry","Forestry Operations"
10,64,"Storm Clean Up","Urban Forestry","Forestry Operations"
10,2,"Street furniture damaged","Transportation Services","Road Operations "
10,2,"Traffic Infiltration","Transportation Services","Traffic Ops - Traffic Engineering"
10,2,"Traffic Island-Grass Needs Cutting","Transportation Services","Road Operations "
10,40,"Traffic Signal Maintenance","Transportation Services","TMC - TPIM"
10,10,"Tree Planting","Urban Forestry","Forestry Operations"
10,2,"Walkway - damaged","Transportation Services","Road Operations "
10,2,"Walkway-Weeds Need Cutting","Transportation Services","Road Operations "
10,2,"Water Meter-Leaking","Toronto Water","District Ops - Central Services"
10,6,"Water Quality-Discoloured (Rusty or Dirty) Water","Toronto Water","District Ops - Operations & Maintenance"
10,30,"Water Service Line-Damaged Water Service Box","Toronto Water","District Ops - Operations & Maintenance"
10,52,"Water Service Line-Leaking","Toronto Water","District Ops - Operations & Maintenance"
10,32,"Water Service Line-Locate / Adjust service box","Toronto Water","District Ops - Operations & Maintenance"
10,34,"Water Service Line-No Water","Toronto Water","District Ops - Operations & Maintenance"
10,144,"Water Service Line-Turn Off","Toronto Water","District Ops - Operations & Maintenance"
10,18,"Water Service Line-Turn Off/Burst","Toronto Water","District Ops - Operations & Maintenance"
10,86,"Water Service Line-Turn On","Toronto Water","District Ops - Operations & Maintenance"
10,2,"Water Valve-Leaking","Toronto Water","District Ops - Operations & Maintenance"
10,24,"Watermain-Possible Break","Toronto Water","District Ops - Operations & Maintenance"
10,50,"Zoning","Municipal Licensing & Standards","District Enforcement"
11,4,"ABCD's / Garbage Cart / Missed","Solid Waste Management Services","Collections"
11,12,"ABCD's / Garbage Pile / Missed","Solid Waste Management Services","Collections"
11,2,"ABCD's / Nite Recycle Blue Box Missed","Solid Waste Management Services","Collections"
11,4,"ABCD's / Recycle Blue Box / Missed","Solid Waste Management Services","Collections"
11,4,"ABCD's / Recycle Cart / Missed","Solid Waste Management Services","Collections"
11,4,"ABCD's / Recycle Front-End / Missed","Solid Waste Management Services","Collections"
11,38,"Adequate Heat","Municipal Licensing & Standards","District Enforcement"
11,2,"All / Hazardous Waste / Missed","Solid Waste Management Services","Collections"
11,70,"All / Hazardous Waste / Pick Up Request","Solid Waste Management Services","Collections"
11,2,"Appliance (Emergency)","Municipal Licensing & Standards","District Enforcement"
11,56,"Bin Investigation Request","Solid Waste Management Services","Collections"
11,16,"Block Pruning","Urban Forestry","Forestry Operations"
11,2,"Blocked Access By Parking","Transportation Services","Traffic Ops - Traffic Engineering"
11,2,"Bollard - Damaged","Transportation Services","Road Operations"
11,4,"Boulevard - Leaf Pick-up Mechanical","Transportation Services","Road Operations "
11,6,"Boulevard - Pick-Up Shopping Carts","Transportation Services","Road Operations "
11,30,"Boulevards - Damaged Asphalt","Transportation Services","Road Operations "
11,6,"Boulevards - Weed Removal","Transportation Services","Road Operations "
11,2,"Bridge - Graffiti Complaint","Transportation Services","Road Operations "
11,8,"Catch basin (Storm) - Damage","Toronto Water","District Ops - Operations & Maintenance"
11,6,"Catch basin (Storm) - Overflowing","Toronto Water","District Ops - Operations & Maintenance"
11,22,"Catch Basin - Blocked / Flooding","Transportation Services","Road Operations "
11,4,"Catch Basin - Damaged Maintenance Requested","Transportation Services","Road Operations "
11,4,"Catch Basin - Debris / Litter","Transportation Services","Road Operations "
11,6,"Catch Basin Maintenance and Repair","Transportation Services","Road Operations "
11,8,"Comm / Nite Garbage Yellow Bag / Missed","Solid Waste Management Services","Collections"
11,16,"Comm / Nite Organic Cart / Missed","Solid Waste Management Services","Collections"
11,6,"Comm / Nite Recycle Blue Box / Missed","Solid Waste Management Services","Collections"
11,2,"Comm / Nite Recycle Cardboard Missed","Solid Waste Management Services","Collections"
11,4,"Commercial / Nite Recycle Cart / Missed","Solid Waste Management Services","Collections"
11,2,"Commercial / Recycle Blue Box / Missed","Solid Waste Management Services","Collections"
11,12,"Complaint regarding Contractor","Transportation Services","Road Operations "
11,2,"Culverts - Blocked","Transportation Services","Road Operations "
11,2,"Culverts-Damaged / Maintenance Requested","Transportation Services","Road Operations "
11,2,"Disabled Persons' Parking Space","Transportation Services","Traffic Ops - Traffic Engineering"
11,122,"Election Signs","Municipal Licensing & Standards","District Enforcement"
11,2,"Employee Comment","Transportation Services","Road Operations "
11,10,"Fence","Municipal Licensing & Standards","District Enforcement"
11,214,"General Pruning","Urban Forestry","Forestry Operations"
11,24,"General Tree Maintenance","Urban Forestry","Forestry Operations"
11,14,"Graffiti","Municipal Licensing & Standards","District Enforcement"
11,4,"Hydrant-After Usage Test","Toronto Water","District Ops - Operations & Maintenance"
11,4,"Hydrant-Damage","Toronto Water","District Ops - Operations & Maintenance"
11,14,"Hydrant-Leaking","Toronto Water","District Ops - Operations & Maintenance"
11,8,"Illegal Dumping / Discharge","Toronto Water","District Ops - Operations & Maintenance"
11,8,"Investigate Regulatory Signs","Transportation Services","Traffic Ops - Traffic Engineering"
11,2,"Investigate Temporary Condition Signs","Transportation Services","Traffic Ops - Traffic Engineering"
11,8,"Investigate Warning Signs","Transportation Services","Traffic Ops - Traffic Engineering"
11,2,"IPM Inspection","Urban Forestry","Forestry and Natural Environment Management"
11,2,"Lane Designation","Transportation Services","Traffic Ops - Traffic Engineering"
11,10,"Laneway - Surface Damage","Transportation Services","Road Operations "
11,8,"Left/Right Turn Signal Priority Features","Transportation Services","Traffic Ops - Traffic Engineering"
11,2,"Litter / Bin / Litter Bin Installation","Solid Waste Management Services","Collections"
11,24,"Litter / Bin / Overflow or Missed","Solid Waste Management Services","Collections"
11,2,"Litter / Bin / Reinstall, Replace Missing","Solid Waste Management Services","Collections"
11,2,"Litter / Bin / Removal","Solid Waste Management Services","Collections"
11,6,"Litter / Laneway / Clean Up","Solid Waste Management Services","Collections"
11,16,"Litter / Sidewalk & Blvd / Pick Up Request","Solid Waste Management Services","Collections"
11,6,"Litter / Street Furniture& Poster / Removal","Solid Waste Management Services","Collections"
11,24,"Long Grass and Weeds","Municipal Licensing & Standards","District Enforcement"
11,2,"Maintenance Hole-Damage","Toronto Water","District Ops - Operations & Maintenance"
11,2,"Maintenance Hole-Missing Cover","Toronto Water","District Ops - Operations & Maintenance"
11,4,"Maintenance Holes -Damage / Repair","Transportation Services","Road Operations "
11,2,"Maintenance Holes Lid Loose/Missing","Transportation Services","Road Operations "
11,4,"Missed Leaf Collection","Transportation Services","Road Operations "
11,32,"Missing/Damaged Signs","Transportation Services","TMC - Signs & Markings"
11,6,"Multi-Res / Furniture Pile / Missed","Solid Waste Management Services","Collections"
11,10,"Multi-Res / Garbage Cart / Missed","Solid Waste Management Services","Collections"
11,4,"Multi-Res / Garbage Front-End / Missed","Solid Waste Management Services","Collections"
11,2,"Multi-Res / Nite Furniture Pile / Missed","Solid Waste Management Services","Collections"
11,4,"Multi-Res / Nite Recycle Cart / Missed","Solid Waste Management Services","Collections"
11,2,"Multi-Res / Organic Front-End / Missed","Solid Waste Management Services","Collections"
11,4,"Multi-Res / Recycle Cart / Missed","Solid Waste Management Services","Collections"
11,6,"Multi-Res / Recycle Front-End / Missed","Solid Waste Management Services","Collections"
11,2,"Multi-Res / Yard Waste / Missed","Solid Waste Management Services","Collections"
11,2,"New Pedestrian Crossover","Transportation Services","Traffic Ops - Traffic Engineering"
11,10,"New Traffic Control Signal Request","Transportation Services","Traffic Ops - Traffic Engineering"
11,40,"Noise","Municipal Licensing & Standards","District Enforcement"
11,30,"Operational Comment or Complaint","Transportation Services","Road Operations "
11,52,"Operator / Operations Complaint","Solid Waste Management Services","Collections"
11,4,"Operator / Operations Compliment","Solid Waste Management Services","Collections"
11,2,"Parking Meters/Machines","Transportation Services","Traffic Ops - Traffic Engineering"
11,8,"Pedestrian Issues/Timing/Delays","Transportation Services","Traffic Ops - Traffic Engineering"
11,2,"Pedestrian Refuge Island","Transportation Services","Traffic Ops - Traffic Engineering"
11,4,"Permit Inspection","Urban Forestry","Tree Protection and Plan Review"
11,8,"Pit Cover/Paver Maintenance","Urban Forestry","Forestry Operations"
11,10,"Private Tree Inspection","Urban Forestry","Tree Protection and Plan Review"
11,218,"Property Standards","Municipal Licensing & Standards","District Enforcement"
11,2,"PXO Maintenance","Transportation Services","TMC - TPIM"
11,10,"Res / Above Comm / Organic Green Bin / Missed","Solid Waste Management Services","Collections"
11,118,"Res / Garbage / Missed","Solid Waste Management Services","Collections"
11,16,"Res / Garbage / Whole Street Missed","Solid Waste Management Services","Collections"
11,12,"Res / Garbage Front&Side / Missed","Solid Waste Management Services","Collections"
11,8,"Res / Nite Garbage / Missed","Solid Waste Management Services","Collections"
11,2,"Res / Nite Organic&Garbage / Missed","Solid Waste Management Services","Collections"
11,2,"Res / Nite Organic&Recycle / Missed","Solid Waste Management Services","Collections"
11,6,"Res / Nite Recycle / Missed","Solid Waste Management Services","Collections"
11,2,"Res / Nite Recycle Whole Street / Missed","Solid Waste Management Services","Collections"
11,4,"Res / Org&Garbage Whole Street / Missed","Solid Waste Management Services","Collections"
11,4,"Res / Org&Recycle Front&Side / Missed","Solid Waste Management Services","Collections"
11,2,"Res / Org&Recycle Whole Street / Missed","Solid Waste Management Services","Collections"
